,,,,,,,,
No.,Database,Dataset,Download Link,Ref.,Remarks,,Experiment type,Race
,,,,,Experimental group,Description,,
1,Geo,GSE136831,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136831,PMID: 32832599,"28 Ctr vs 32 IPF, 18 COPD","health Ctr: GSM4058900-GSM4058927
COPDs: GSM4058928-GSM4058945 
IPFs: GSM4058946-GSM4058977","Sc-RNA seq, raw conuts",93.5% Caucasaians
2,Geo,GSE24206,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE24206,PMID: 21974901,6 Ctr vs 17 IPF,"health Ctr: GSM595407, GSM595411, GSM595414, GSM595416, GSM595417, GSM595419
Early IPF_upper lobe: GSM595421, GSM595422, GSM595423, GSM595424, GSM595426, GSM595439;
Early IPF_lower lobe: GSM595427, GSM595441;
Advanced IPF_upper lobe: GSM595428, GSM595432, GSM595435, GSM595443;
Advanced IPF_lower lobe: GSM595429, GSM595434, GSM595437, GSM595445","Microarrays, raw data:
GPL570 [HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
",Caucasians
3,Geo,GSE21369,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21369,PMID: 21241464,6 ctr vs 23 IPF,"Ctr: GSM533882-GSM533887
UIP: GSM533888-GSM533898
NSIP: GSM533899-GSM533903
Others: GSM533904-GSM533910 ","Microarrays, raw data:
GPL570 [HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",86.2% Caucasaians
4,Geo,GSE110147,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110147,PMID: 30111332,11 Ctr vs 32 IPF,"Ctr: GSM2978789-GSM2978799
UIP: GSM2978752-GSM2978773
NSIP: GSM2978774-GSM2978783
IPF-NSIP: GSM2978784-GSM2978788","Arrays, raw data:
GPL6244 [HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]",European
5,Geo,GSE72073,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72073,PMID: 26453058,5 Ctr vs 3 IPF,"Ctr: GSM1854182-GSM1854186
IPF: GSM1854187-GSM1854189","Arrays, raw data:
 GPL17586 [HTA-2_0] Affymetrix Human Transcriptome Array 2.0 [transcript (gene) version]","Asian
(Chinese)"
6,Geo,GSE47460,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47460,PMID: 27609773,17 Ctr vs 189 IPF,"Ctr:GSM1149955,GSM1149970,GSM1149999,GSM1150022,GSM1150042,GSM1150083,GSM1150092,GSM1150095,GSM1150107,GSM1150109,GSM1150113,GSM1150114,GSM1150115,GSM1150124,GSM1150128,GSM1150135,GSM1150137
IPF:GSM1149950,GSM1149952,GSM1149985,GSM1149993,GSM1149996,GSM1150010,GSM1150056,GSM1150067,GSM1150089,GSM1150100,GSM1150119,GSM1150122,GSM1150155,GSM1150163,GSM1150169,GSM1150172,GSM1150173,GSM1150177,GSM1150179,GSM1150180,GSM1150181,GSM1150183,GSM1150191,GSM1150194,GSM1150195,GSM1150196,GSM1150197,GSM1150198,GSM1150199,GSM1150202,GSM1150205,GSM1150207,GSM1150208,GSM1150209,GSM1150216,GSM1150217,GSM1150218,GSM1150219,GSM1150221,GSM1150222,GSM1150227,GSM1150229,GSM1150230,GSM1150231,GSM1150232,GSM1150233,GSM1150241,GSM1150244,GSM1150245,GSM1150247,GSM1150252,GSM1150256,GSM1150257,GSM1150259,GSM1150260,GSM1150264,GSM1150267,GSM1150270,GSM1150271,GSM1150273,GSM1150277,GSM1150280,GSM1150281,GSM1150282,GSM1150286,GSM1150287,GSM1150289,GSM1150292,GSM1150299,GSM1150302,GSM1150306,GSM1150310,GSM1150313,GSM1150314,GSM1150317,GSM1150319,GSM1150347,GSM1150354,GSM1150355,GSM1150361,GSM1150363,GSM1150365,GSM1150366,GSM1150367,GSM1150368,GSM1150370,GSM1150371,GSM1150372,GSM1150374,GSM1150375,GSM1150377,GSM1150378,GSM1150379,GSM1150380,GSM1150382,GSM1150384,GSM1150385,GSM1150386,GSM1150387,GSM1150390,GSM1150391,GSM1150392,GSM1150395,GSM1150397,GSM1150398,GSM1150399,GSM1150400,GSM1150401,GSM1150404,GSM1150407,GSM1150410,GSM1150411,GSM1150412,GSM1150415,GSM1150416,GSM1150418,GSM1150420,GSM1150421,GSM1150422,GSM1150424,GSM1150425,GSM1150426,GSM1150427,GSM1150428,GSM1150429,GSM1150431,GSM1150432,GSM1150436,GSM1150439,GSM1150440,GSM1150441,GSM1150442,GSM1150445,GSM1150446,GSM1150448,GSM1150449,GSM1150451,GSM1150453,GSM1150454,GSM1150455,GSM1150456,GSM1150460,GSM1150461,GSM1150466,GSM1150467,GSM1150469,GSM1150470,GSM1150471,GSM1150472,GSM1150474,GSM1150475,GSM1150477,GSM1150480,GSM1150481,GSM1150482,GSM1150483,GSM1150484,GSM1150485,GSM1150487,GSM1150488,GSM1150489,GSM1150490,GSM1150493,GSM1150494,GSM1150495,GSM1150497,GSM1150500,GSM1150503,GSM1150504,GSM1150505,GSM1150510,GSM1150511,GSM1150513,GSM1150518,GSM1150519,GSM1150521,GSM1150522,GSM1150524,GSM1150525,GSM1150528,GSM1150529,GSM1150530,GSM1150532,GSM1150533,GSM1150534,GSM1150535,GSM1150536,GSM1150538,GSM1150540,GSM1150541,GSM1150542,GSM1150545,GSM1150546,GSM1150547","array, raw data: 
 
1) GPL6480 Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version)
2)GPL14550 Agilent-028004 SurePrint G3 Human GE 8x60K Microarray (Probe Name Version)

",Caucasians(91%)/ Black(6%)/ Asians(0.7%)
7,LTRC,GSE32537,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32537,PMID: 23783374,50 Ctr vs 169 IPF,"Ctr: GSM806371,GSM806372,GSM806373,GSM806374,GSM806375,GSM806376,GSM806377,GSM806378,GSM806379,GSM806380,GSM806381,GSM806382,GSM806383,GSM806384,GSM806385,GSM806386,GSM806387,GSM806388,GSM806389,GSM806390,GSM806391,GSM806392,GSM806393,GSM806394,GSM806395,GSM806396,GSM806397,GSM806398,GSM806399,GSM806400,GSM806401,GSM806402,GSM806403,GSM806404,GSM806405,GSM806406,GSM806407,GSM806408,GSM806409,GSM806410,GSM806411,GSM806412,GSM806413,GSM806414,GSM806415,GSM806416,GSM806417,GSM806418,GSM806419,GSM806420
IPF: GSM806204,GSM806205,GSM806206,GSM806207,GSM806208,GSM806209,GSM806210,GSM806211,GSM806212,GSM806213,GSM806214,GSM806215,GSM806216,GSM806217,GSM806218,GSM806219,GSM806220,GSM806221,GSM806222,GSM806223,GSM806224,GSM806225,GSM806226,GSM806227,GSM806228,GSM806229,GSM806230,GSM806231,GSM806232,GSM806233,GSM806234,GSM806235,GSM806236,GSM806237,GSM806238,GSM806239,GSM806240,GSM806241,GSM806242,GSM806243,GSM806244,GSM806245,GSM806246,GSM806247,GSM806248,GSM806249,GSM806250,GSM806251,GSM806252,GSM806253,GSM806254,GSM806255,GSM806256,GSM806257,GSM806258,GSM806259,GSM806260,GSM806261,GSM806262,GSM806263,GSM806264,GSM806265,GSM806267,GSM806268,GSM806269,GSM806270,GSM806271,GSM806272,GSM806273,GSM806274,GSM806275,GSM806276,GSM806277,GSM806278,GSM806279,GSM806280,GSM806281,GSM806282,GSM806283,GSM806284,GSM806285,GSM806286,GSM806287,GSM806288,GSM806289,GSM806290,GSM806291,GSM806292,GSM806293,GSM806294,GSM806295,GSM806296,GSM806297,GSM806298,GSM806299,GSM806300,GSM806301,GSM806302,GSM806303,GSM806305,GSM806306,GSM806307,GSM806308,GSM806309,GSM806310,GSM806311,GSM806312,GSM806313,GSM806314,GSM806315,GSM806316,GSM806317,GSM806318,GSM806319,GSM806320,GSM806321,GSM806322,GSM806323,GSM806324,GSM806325,GSM806326,GSM806327,GSM806328,GSM806329,GSM806330,GSM806331,GSM806332,GSM806333,GSM806334,GSM806335,GSM806336,GSM806337,GSM806338,GSM806339,GSM806340,GSM806341,GSM806342,GSM806343,GSM806344,GSM806345,GSM806346,GSM806347,GSM806349,GSM806350,GSM806351,GSM806352,GSM806353,GSM806354,GSM806355,GSM806356,GSM806357,GSM806358,GSM806359,GSM806360,GSM806361,GSM806362,GSM806363,GSM806364,GSM806365,GSM806366,GSM806367,GSM806368,GSM806369,GSM806370","array, raw data: 
 
 
GPL6244 [HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]2)GPL14550 Agilent-028004 SurePrint G3 Human GE 8x60K Microarray (Probe Name Version)

",90.5% Caucasian
8,Geo,GSE134692,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134692,PMID: 31423451,26 Ctr vs 46 IPF,"Ctr:GSM3963614,GSM3963618,GSM3963620,GSM3963622,GSM3963623,GSM3963624,GSM3963625,GSM3963628,GSM3963629,GSM3963630,GSM3963637,GSM3963639,GSM3963640,GSM3963649,GSM3963652,GSM3963657,GSM3963659,GSM3963662,GSM3963672,GSM3963674,GSM3963675,GSM3963679,GSM3963685,GSM3963686,GSM3963687,GSM3963692
Acute lung injury(ALI): GSM3963613,GSM3963619,GSM3963626,GSM3963631,GSM3963634,GSM3963635,GSM3963642,GSM3963646
IPF:GSM3963615,GSM3963616,GSM3963617,GSM3963621,GSM3963627,GSM3963632,GSM3963633,GSM3963636,GSM3963638,GSM3963641,GSM3963643,GSM3963644,GSM3963645,GSM3963647,GSM3963648,GSM3963650,GSM3963651,GSM3963653,GSM3963654,GSM3963655,GSM3963656,GSM3963658,GSM3963660,GSM3963661,GSM3963663,GSM3963664,GSM3963665,GSM3963666,GSM3963667,GSM3963668,GSM3963669,GSM3963670,GSM3963671,GSM3963673,GSM3963676,GSM3963677,GSM3963678,GSM3963680,GSM3963681,GSM3963682,GSM3963683,GSM3963684,GSM3963688,GSM3963689,GSM3963690,GSM3963691","Bulk-RNA seq, raw counts",83.3% Caucasains/ 8.3% African/ 8.3% Asian
9,Geo,GSE124685,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124685,https://doi.org/10.1172/jci.insight.131597,35 Ctr vs 49 IPF,"Ctr: GSM3541118,GSM3541119,GSM3541120,GSM3541121,GSM3541122,GSM3541123,GSM3541124,GSM3541125,GSM3541126,GSM3541127,GSM3541128,GSM3541129,GSM3541130,GSM3541131,GSM3541132,GSM3541133,GSM3541134,GSM3541135,GSM3541136,GSM3541137,GSM3541138,GSM3541139,GSM3541140,GSM3541141,GSM3541142,GSM3541143,GSM3541144,GSM3541145,GSM3541146,GSM3541147,GSM3541148,GSM3541149,GSM3541150,GSM3541151,GSM3541152
IPF: GSM3541153,GSM3541154,GSM3541155,GSM3541156,GSM3541157,GSM3541158,GSM3541159,GSM3541160,GSM3541161,GSM3541162,GSM3541163,GSM3541164,GSM3541165,GSM3541166,GSM3541167,GSM3541168,GSM3541169,GSM3541170,GSM3541171,GSM3541172,GSM3541173,GSM3541174,GSM3541175,GSM3541176,GSM3541177,GSM3541178,GSM3541179,GSM3541180,GSM3541181,GSM3541182,GSM3541183,GSM3541184,GSM3541185,GSM3541186,GSM3541187,GSM3541188,GSM3541189,GSM3541190,GSM3541191,GSM3541192,GSM3541193,GSM3541194,GSM3541195,GSM3541196,GSM3541197,GSM3541198,GSM3541199,GSM3541200,GSM3541201","Bulk-RNA seq, raw counts",Caucasian
